,Unnamed: 0,year,ind_annual_celcsius_change,ind_avg_temp_celsius,ind_prod_lbs,b_hectares_harvested,b_hectograms_per_hectare_yield,b_tonnes_produced,usa_retail_price,b_annual_avg_temp,col_production_lbs,col_annual_celsius_change,global_change_in_celsius,e_prod,e_temp_change,e_export,e_consumption,us_consumption_lbs,col_avg_temp_celsius,b_annual_celsius_change,e_avg_temp
0,0,1990,0.12,25.43,16371042.6,2908960,5036,1464856,2.97,25.12,31671200.000000004,0.258,0.66,2909.451,0.244,1074.101,1200.0,40254757.400000006,24.77,0.44,23.04
1,1,1991,0.203,25.32,18685031.200000003,2763440,5502,1520382,2.81,25.05,39556873.400000006,0.347,0.53,2924.664,0.244,841.329,1264.0,41054596.0,24.82,0.47,23.13
2,2,1992,0.264,25.28,12252851.6,2500320,5177,1294373,2.58,24.91,32883131.6,0.532,0.25,1825.171,0.244,734.461,1331.0,40238996.6,24.95,0.381,22.79
3,3,1993,0.206,25.17,14835233.6,2259330,5660,1278759,2.47,25.02,25129328.4,0.157,0.36,2967.004,0.244,1166.778,1402.0,42277701.400000006,24.8,0.522,22.82
4,4,1994,0.267,25.25,11809331.6,2097650,6232,1307289,3.4,25.14,28520800.000000004,0.162,0.49,2762.73,0.599,1475.325,1476.0,38117428.8,24.77,0.612,22.91
5,5,1995,0.344,25.31,10061543.8,1869980,4974,930135,4.04,25.27,28463639.6,0.431,0.78,3165.322,0.815,1276.118,1555.0,38198316.2,24.97,0.781,23.11
6,6,1996,0.387,25.26,18085284.800000004,1920250,7130,1369196,3.43,25.05,23713470.000000004,0.057,0.35,3407.442,0.775,1838.231,1637.0,39729800.0,24.63,0.506,23.14
7,7,1997,0.397,25.52,16765711.6,1988190,6179,1228513,4.11,25.28,26669491.200000003,0.431,0.65,3056.864,0.713,1979.733,1724.0,39149983.400000006,25.01,0.694,23.13
8,8,1998,0.997,25.89,16051101.000000002,2070410,8160,1689366,3.77,25.68,23909516.4,0.848,0.99,2927.725,0.806,1917.061,1816.0,40928357.8,25.3,1.282,23.38
9,9,1999,0.265,25.13,14425545.640000002,2222925,7341,1631852,3.43,25.15,20926940.980000004,-0.105,0.79,3784.051,0.314,1818.087,1912.0,42590741.6,24.46,0.602,22.82
10,10,2000,0.271,25.35,15371927.340000002,2267968,8393,1903562,3.45,25.09,23142574.4,-0.144,0.63,3115.149,0.572,1981.856,2014.0,41240240.8,24.48,0.552,23.15
11,11,2001,0.515,25.47,15033383.2,2336031,7789,1819569,3.09,25.36,26290622.6,0.344,0.86,4044.24,0.732,1376.062,2121.0,43018038.8,24.88,0.759,23.28
12,12,2002,0.608,25.79,14809027.2,2370891,11011,2610524,2.92,25.63,25766488.000000004,0.567,0.97,4093.902,1.094,2054.678,2234.0,42073926.400000006,25.01,1.059,23.72
13,13,2003,0.567,25.6,14088967.2,2395501,8295,1987074,2.92,25.43,24315772.8,0.621,0.96,4393.717,1.109,2229.143,2353.0,44423891.6,25.09,0.975,23.46
14,14,2004,0.524,25.58,16580016.2,2368040,10412,2465710,2.85,25.35,25143483.200000003,0.519,0.83,5212.951,0.874,2490.944,2478.0,46140080.8,24.91,0.804,23.4
15,15,2005,0.702,25.54,20149710.680000003,2325920,9201,2140169,3.26,25.61,26295059.34,0.605,1.1,4779.486,1.119,2435.069,2609.0,46194599.00000001,25.0,1.117,23.5
16,16,2006,0.416,25.34,16461882.140000002,2312157,11130,2573368,3.2,25.42,26761223.720000003,0.471,0.98,5550.74,0.971,2935.56,2748.0,45468233.8,24.87,0.817,23.42
17,17,2007,0.485,25.34,17108422.540000003,2264129,9933,2249011,3.47,25.54,27533214.28,0.567,1.13,5966.6796,0.847,2604.008,2894.0,46273200.6,24.8,0.98,23.32
18,18,2008,0.278,25.23,21147162.520000003,2222224,12586,2796927,3.760735620689655,25.24,19061438.660000004,0.249,0.9,4948.9869,0.756,2851.92097,3048.0,47635341.6,24.52,0.72,23.25
19,19,2009,0.586,25.46,25035273.78,2135508,11426,2440056,3.67,25.44,17814689.42,0.723,0.92,6830.199,1.336,1851.4974532,3109.0,47159127.400000006,24.98,0.941,23.95
20,20,2010,0.797,25.82,20082725.960000005,2159785,13461,2907265,3.91,25.68,18749850.680000003,0.885,1.16,5560.3848,1.259,3324.1025511,3171.0,47923605.400000006,25.2,1.107,23.67
21,21,2011,0.349,25.41,15155631.260000004,2148775,12568,2700540,5.19,25.36,16837333.92,0.31,0.93,5650.4099,1.137,2675.4190125,3235.0,48496560.2,24.85,0.812,23.57
22,22,2012,0.443,25.58,28754084.92,2120080,14327,3037534,5.68,25.56,21839277.9,0.494,0.97,6132.0066,1.059,3202.5924066,3299.0,48909660.8,25.01,1.052,23.38
23,23,2013,0.782,25.67,28382088.460000005,2085522,14215,2964538,5.45,25.5,26672954.44,0.652,1.04,6242.4439,1.208,2870.0752483,3365.0,51517400.00000001,25.2,0.963,23.73
24,24,2014,0.768,25.67,24081810.06,1997827,14036,2804070,4.99,25.67,29333355.700000003,0.624,1.02,6383.2618,1.149,3116.69037,3433.0,52287400.00000001,25.32,1.169,23.5
25,25,2015,0.789,25.73,27688045.220000003,1977714,13387,2647504,4.72,25.97,30819319.08,1.093,1.41,6514.9754,1.395,2984.9748167,3501.0,53763600.00000001,25.62,1.6,23.94
